sampleNs,vramUsedBytes,magpiePids,gpuHandle
1787927845844055235,1833046016,741452:741477:741486,1
1787927846256944425,1833086976,741452:741486:741686,1
1787927846659817707,2406092800,741452:741486:741854,1
1787927847051922935,2406182912,741452:741486:741977,1
1787927847444655179,2406260736,741452:741486:742110,1
1787927847833543058,2406346752,741452:741486:742225,1
1787927848222633602,2406428672,741452:741486:742423,1
1787927848618290054,2406514688,741452:741486:742545,1
1787927849008672322,2391203840,741452:741486:742729,1
1787927849400564131,2391203840,741452:741486:742903,1
1787927849793306138,2391203840,741452:741486:743008,1
1787927850203709400,2391203840,741452:741486:743118,1
1787927850602417699,2391207936,741452:741486:743279,1
1787927851000731005,2391318528,741452:741486:743451,1
1787927851396083651,2391318528,741452:741486:743626,1
1787927851790411738,2391318528,741452:741486:743776,1
1787927852187797110,2391318528,741452:744023:744056,1
1787927852581918677,1833086976,741452:744056:744161,1
1787927852972369832,2407288832,741452:744056:744308,1
1787927853365324899,2408042496,741452:744056:744449,1
1787927853755476949,2408120320,741452:744056:744581,1
1787927854146924992,2408206336,741452:744056:744875,1
1787927854547468778,2408288256,741452:744056:745128,1
1787927854940458675,2408378368,741452:744056:745257,1
1787927855332808846,2408456192,741452:744056:745379,1
1787927855723442819,2408538112,741452:744056:745622,1
1787927856111546039,2408611840,741452:744056:745786,1
1787927856511919701,2408689664,741452:744056:745923,1
1787927856903937765,2408775680,741452:744056:746125,1
1787927857307671602,2408849408,741452:744056:746348,1
1787927857704890503,2408923136,741452:744056:746540,1
1787927858098816497,2959765504,741452:746697,0
1787927858486547108,1833086976,741452:746750:746921,1
1787927858891016634,2387447808,741452:746750:747122,1
1787927859284883215,2404589568,741452:746750:747275,1
1787927859683529706,2404675584,741452:746750:747406,1
1787927860082025465,2393288704,741452:746750:747563,1
1787927860533833593,2395467776,741452:746750:747712,1
1787927860931283851,2395959296,741452:746750:747999,0
1787927861329239851,1833086976,741452:748118:748178,1
1787927861728679380,2387443712,741452:748118:748304,1
1787927862129097951,2411073536,741452:748118:748505,1
1787927862527189833,2411159552,741452:748118:748665,1
1787927862919035507,2411241472,741452:748118:748807,1
1787927863324437159,2411327488,741452:748118:748927,1
1787927863729999064,2411405312,741452:748118:748954,1
1787927864126691757,2411487232,741452:748118:748979,1
1787927864541267595,2411573248,741452:748118:749015,1
1787927864946334636,2411651072,741452:748118:749042,1
1787927865359979731,2411737088,741452:748118:749062,1
1787927865786298929,2409717760,741452:748118:749086,1
1787927866178501224,2411900928,741452:748118:749105,1
1787927866571777940,2411974656,741452:748118:749128,1
1787927866970933359,2412056576,741452:748118:749146,1
1787927867361111022,2412130304,741452:748118:749175,1
1787927867754657954,3014815744,741452:748118:749277,0
1787927868142833371,1833086976,741452:749298:749468,1
1787927868538743464,2387447808,741452:749298:749718,1
1787927868936051387,2406137856,741452:749298:749807,1
1787927869329599878,2406223872,741452:749298:749892,1
1787927869728138232,2406309888,741452:749298:749934,1
1787927870130416376,2406395904,741452:749298:749954,1
1787927870543441874,2406481920,741452:749298:749988,1
1787927870946761718,2406563840,741452:749298:750045,1
1787927871347394460,2690301952,741452:750091:750093,1
1787927871764844475,1833086976,741452:750093:750117,1
1787927872186261049,2404716544,741452:750093:750186,1
1787927872592029946,2405474304,741452:750093:750244,1
1787927872986051950,2405560320,741452:750093:750266,1
1787927873386542453,2405638144,741452:750093:750300,1
1787927873790808798,2405724160,741452:750093:750395,1
1787927874193513389,2405810176,741452:750093:750425,1
1787927874598290574,2405892096,741452:750093:750458,1
1787927874998237848,2405978112,741452:750093:750481,1
1787927875389559128,2406055936,741452:750093:750527,1
1787927875787252087,2406133760,741452:750093:750545,1
1787927876190607383,1839415296,741452:750567:750568,1
1787927876597451034,1833086976,741452:750567:750734,1
1787927876997640344,2410430464,741452:750567:750804,1
1787927877398051910,2410512384,741452:750567:750821,1
1787927877794853719,2410598400,741452:750567:750840,1
1787927878221982869,2410688512,741452:750567:750859,1
1787927878646068959,2410774528,741452:750567:750890,1
1787927879058479045,2410860544,741452:750567:751054,1
1787927879454542360,2410942464,741452:750567:751226,1
1787927879848335845,2411020288,741452:750567:751315,1
1787927880243677516,2411102208,741452:750567:751389,1
1787927880653041968,2411184128,741452:750567:751510,1
1787927881052366261,2411266048,741452:750567:751571,1
1787927881491640529,2411352064,741452:750567:751606,1
1787927881897418031,2411429888,741452:750567:751655,1
1787927882293427491,3001905152,741452:750567:751692,1
1787927882687021070,1833046016,741452:751837:751840,1
1787927883082677078,1833086976,741452:751837:751865,1
1787927883488239239,2408423424,741452:751837:751925,1
1787927883887471680,2408513536,741452:751837:751946,1
1787927884291726407,2408599552,741452:751837:751966,1
1787927884693791689,2408685568,741452:751837:751993,1
1787927885136705599,2408775680,741452:751837:752027,1
1787927885565550319,2408861696,741452:751837:752051,1
1787927885989139914,2408955904,741452:751837:752103,1
1787927886411686988,2409041920,741452:751837:752124,1
1787927886838938452,2409119744,741452:751837:752147,1
1787927887230741759,2409205760,741452:751837:752165,1
1787927887639976539,2409279488,741452:751837:752183,1
1787927888045818298,2409365504,741452:751837:752206,1
1787927888438529137,2955317248,741452:751837:752309,0
1787927888833351168,1833086976,741452:752324:752338,1
1787927889228785284,1833086976,741452:752324:752361,1
1787927889624850689,2410258432,741452:752324:752527,1
1787927890031413071,2411016192,741452:752324:752559,1
1787927890431392987,2411102208,741452:752324:752675,1
1787927890846710138,2411188224,741452:752324:752720,1
1787927891283276891,2411278336,741452:752324:752761,1
1787927891680282766,2411360256,741452:752324:753119,1
1787927892079666719,2411438080,741452:752324:753345,1
1787927892482431456,2411520000,741452:752324:753421,1
1787927892916721336,2411606016,741452:752324:753446,1
